sample_id	copy_number
EA18-0001	0
EA18-0003	18
EA18-0004	9
EA18-0008	8
EA18-0012	12
EA18-0015	4
EA18-0022	13
EA18-0023	13
EA18-0026	8
EA18-0027	13
EA18-0029	2
EA18-0032	10
EA18-0033	5
EA18-0034	2
EA18-0038	12
EA18-0039	15
EA18-0043	9
EA18-0046	17
EA18-0047	7
EA18-0049	2
EA18-0051	9
EA18-0057	0
EA18-0059	6
EA18-0062	4
EA18-0064	11
EA18-0066	0
EA18-0067	7
EA18-0068	6
EA18-0069	11
EA18-0070	10
EA18-0071	7
EA18-0072	4
EA18-0073	12
EA18-0075	15
EA18-0076	15
EA18-0077	2
EA18-0078	11
EA18-0083	2
EA18-0084	19
EA18-0085	12
EA18-0086	9
EA18-0087	5
EA18-0088	2
EA18-0089	2
EA18-0090	13
EA18-0091	9
EA18-0092	5
EA18-0093	11
EA18-0094	19
EA18-0095	5
EA18-0096	5
EA18-0098	20
EA18-0099	9
EA18-0100	1
EA18-0102	15
EA18-0104	12
EA18-0106	7
EA18-0109	7
EA18-0112	0
EA18-0114	11
EA18-0115	6
EA18-0116	4
EA18-0117	11
EA18-0118	7
EA18-0119	18
EA18-0120	5
EA18-0121	11
EA18-0122	9
EA18-0123	15
EA18-0124	6
EA18-0125	9
EA18-0126	8
EA18-0127	4
EA18-0128	15
EA18-0129	13
EA18-0130	11
EA18-0131	28
EA18-0132	2
EA18-0133	13
EA18-0134	3
EA18-0135	6
EA18-0136	2
EA18-0137	5
EA18-0139	6
EA18-0140	13
EA18-0141	7
EA18-0142	4
EA18-0143	2
EA18-0144	8
EA18-0145	13
EA18-0146	9
EA18-0147	7
EA18-0148	14
EA18-0149	6
EA18-0150	11
EA18-0151	17
EA18-0153	13
EA18-0154	7
EA18-0155	9
EA18-0156	6
EA18-0157	7
EA18-0158	14
EA18-0159	3
EA18-0160	8
EA18-0161	11
EA18-0163	8
EA18-0164	2
EA18-0165	13
EA18-0166	2
EA18-0167	10
EA18-0168	9
EA18-0169	13
EA18-0170	6
EA18-0171	9
EA18-0172	9
EA18-0173	6
EA18-0174	0
EA18-0175	4
EA18-0176	9
EA18-0177	16
EA18-0178	7
EA18-0179	7
EA18-0180	8
EA18-0182	0
EA18-0183	9
EA18-0184	13
EA18-0186	7
EA18-0187	0
EA18-0189	11
EA18-0190	9
EA18-0192	0
EA18-0193	3
EA18-0194	21
EA18-0197	18
EA18-0198	2
EA18-0200	2
EA18-0201	5
EA18-0202	7
EA18-0203	16
EA18-0204	7
EA18-0206	22
EA18-0213	14
EA18-0214	5
EA18-0215	7
EA18-0216	11
EA18-0217	2
EA18-0218	11
EA18-0219	2
EA18-0220	7
EA18-0222	3
EA18-0223	9
EA18-0224	12
EA18-0225	2
EA18-0227	12
EA18-0229	8
EA18-0230	7
EA18-0233	5
EA18-0235	9
EA18-0236	2
EA18-0237	11
EA18-0239	7
EA18-0240	0
EA18-0241	0
EA18-0242	6
EA18-0243	10
EA18-0244	5
EA18-0245	9
EA18-0246	7
EA18-0247	2
EA18-0249	13
EA18-0250	10
EA18-0251	5
EA18-0252	2
EA18-0253	0
EA18-0255	9
EA18-0257	15
EA18-0258	5
EA18-0259	15
EA18-0260	2
EA18-0261	17
EA18-0262	22
EA18-0263	7
EA18-0264	5
EA18-0266	0
EA18-0271	11
EA18-0272	5
EA18-0273	14
EA18-0274	7
EA18-0275	4
EA18-0276	14
EA18-0277	6
EA18-0278	9
EA18-0279	0
EA18-0280	13
EA18-0281	5
EA18-0283	6
EA18-0284	2
EA18-0285	0
EA18-0286	2
EA18-0287	17
EA18-0289	7
EA18-0294	15
EA18-0295	13
EA18-0296	11
EA18-0297	3
EA18-0298	9
EA18-0299	11
EA18-0300	2
EA18-0301	2
EA18-0302	11
EA18-0303	13
EA18-0304	11
EA18-0305	12
EA18-0307	15
EA18-0308	25
EA18-0309	15
EA18-0310	9
EA18-0311	7
EA18-0312	2
EA18-0313	17
EA18-0314	15
EA18-0316	7
EA18-0317	16
EA18-0318	13
EA18-0319	4
EA18-0320	4
EA18-0322	2
EA18-0324	2
EA18-0325	0
EA18-0326	3
EA18-0327	2
EA18-0328	4
EA18-0331	8
EA18-0332	2
EA18-0333	2
EA18-0334	2
EA18-0335	13
EA18-0336	11
EA18-0337	17
EA18-0338	10
EA18-0339	6
EA18-0340	6
EA18-0341	0
EA18-0342	2
EA18-0343	5
EA18-0344	17
EA18-0345	13
EA18-0347	10
EA18-0348	12
EA18-0349	9
EA18-0350	2
EA18-0351	11
EA18-0352	6
EA18-0353	2
EA18-0354	16
EA18-0355	10
EA18-0356	6
EA18-0357	13
EA18-0358	0
EA18-0359	4
EA18-0361	23
EA18-0362	8
EA18-0363	2
EA18-0364	6
EA18-0365	10
EA18-0366	12
EA18-0367	23
EA18-0368	13
EA18-0369	2
EA18-0370	4
EA18-0371	17
EA18-0372	9
EA18-0373	4
EA18-0374	6
EA18-0376	0
EA18-0378	6
EA18-0379	21
EA18-0380	4
EA18-0381	2
EA18-0382	10
EA18-0383	0
EA18-0384	7
EA18-0385	0
EA18-0386	0
EA18-0387	0
EA18-0388	0
EA18-0389	0
EA18-0390	0
EA18-0392	0
EA18-0394	0
EA18-0395	0
EA18-0396	0
EA18-0397	3
EA18-0398	0
EA18-0399	0
EA18-0401	0
EA18-0402	0
EA18-0403	0
EA18-0405	0
EA18-0406	0
EA18-0407	0
EA18-0408	0
EA18-0410	0
EA18-0411	0
EA18-0412	0
EA18-0414	0
EA18-0415	3
EA18-0416	0
EA18-0417	0
EA18-0418	0
EA18-0420	0
EA18-0421	0
EA18-0422	0
EA18-0424	0
EA18-0425	0
EA18-0426	0
EA18-0427	0
EA18-0428	0
EA18-0429	0
EA18-0430	0
EA18-0431	0
EA18-0432	0
EA18-0433	0
EA18-0434	0
EA18-0435	0
EA18-0436	0
EA18-0437	0
EA18-0438	0
EA18-0441	0
EA18-0442	0
EA18-0443	0
EA18-0444	0
EA18-0445	0
EA18-0446	0
EA18-0447	0
EA18-0449	0
EA18-0450	0
EA18-0451	0
EA18-0453	0
EA18-0454	0
EA18-0456	0
EA18-0457	0
EA18-0458	0
EA18-0459	0
EA18-0460	0
EA18-0461	0
EA18-0462	0
EA18-0463	0
EA18-0464	0
EA18-0465	7
EA18-0466	0
EA18-0467	0
EA18-0469	0
EA18-0470	0
EA18-0471	0
EA18-0472	0
EA18-0473	0
EA18-0474	0
EA18-0475	0
EA18-0476	0
EA18-0477	0
EA18-0479	0
EA18-0480	0
EA18-0481	0
EA18-0482	0
EA18-0483	0
EA18-0484	0
EA18-0485	0
EA18-0486	0
EA18-0487	0
EA18-0490	0
EA18-0491	0
EA18-0492	0
EA18-0493	0
EA18-0494	0
EA18-0495	2
EA18-0496	0
EA18-0497	0
EA18-0498	0
EA18-0499	2
EA18-0500	0
EA18-0501	0
EA18-0503	0
EA18-0504	0
EA18-0505	0
EA18-0506	0
EA18-0507	0
EA18-0508	0
EA18-0509	0
EA18-0510	0
EA18-0512	0
EA18-0513	0
EA18-0515	0
EA18-0517	0
EA18-0518	0
EA18-0520	2
EA18-0521	0
EA18-0522	0
EA18-0523	0
EA18-0524	0
EA18-0525	0
EA18-0526	0
EA18-0528	0
EA18-0529	0
EA18-0531	0
EA18-0532	0
EA18-0533	0
EA18-0534	0
EA18-0535	0
EA18-0536	0
EA18-0537	0
EA18-0538	0
EA18-0540	0
EA18-0542	0
EA18-0543	0
EA18-0544	0
EA18-0545	0
EA18-0546	0
EA18-0547	0
EA18-0548	2
EA18-0549	0
EA18-0550	0
EA18-0551	0
EA18-0552	0
EA18-0553	0
EA18-0554	0
EA18-0555	0
EA18-0556	0
EA18-0557	0
EA18-0558	0
EA18-0559	1
EA18-0561	0
EA18-0563	0
EA18-0564	0
EA18-0565	0
EA18-0566	0
EA18-0567	0
EA18-0568	0
EA18-0569	0
EA18-0570	0
EA18-0572	0
EA18-0573	0
EA18-0575	0
EA18-0576	0
