derived_sample_id	FILTER_frac_genome_cov	FILTER_median_cov	FILTER_contamination	FILTER_nosexcall	FILTER_divergence
VBS54893-6781STDY12150017	PASS	PASS	PASS	PASS	PASS
VBS54894-6781STDY12150018	PASS	PASS	PASS	PASS	PASS
VBS54895-6781STDY12150019	PASS	PASS	PASS	PASS	PASS
VBS54898-6781STDY12150021	PASS	PASS	PASS	PASS	PASS
VBS54901-6781STDY12150024	PASS	PASS	PASS	PASS	PASS
VBS54903-6781STDY12150026	PASS	FAIL	PASS	PASS	PASS
VBS54904-6781STDY12150027	PASS	PASS	PASS	PASS	PASS
VBS54909-6781STDY12150031	FAIL	FAIL	PASS	PASS	PASS
VBS54911-6781STDY12150033	PASS	PASS	PASS	PASS	PASS
VBS54912-6781STDY12150034	PASS	PASS	PASS	PASS	PASS
VBS54913-6781STDY12150035	PASS	PASS	PASS	PASS	PASS
VBS54914-6781STDY12150036	PASS	PASS	PASS	PASS	PASS
VBS54915-6781STDY12150037	PASS	PASS	PASS	PASS	PASS
VBS54917-6781STDY12150038	PASS	PASS	PASS	PASS	PASS
VBS54918-6781STDY12150039	PASS	PASS	PASS	PASS	PASS
VBS54919-6781STDY12150040	PASS	PASS	PASS	PASS	PASS
VBS54923-6781STDY12150043	PASS	PASS	PASS	PASS	PASS
VBS54924-6781STDY12150044	PASS	PASS	PASS	PASS	PASS
VBS54927-6781STDY12150046	PASS	PASS	PASS	PASS	PASS
VBS54930-6781STDY12150049	PASS	PASS	PASS	PASS	PASS
VBS54931-6781STDY12150050	PASS	PASS	PASS	PASS	PASS
VBS54932-6781STDY12150051	PASS	PASS	PASS	PASS	PASS
VBS54934-6781STDY12150053	PASS	PASS	PASS	PASS	PASS
VBS54937-6781STDY12150056	PASS	PASS	PASS	PASS	PASS
VBS54938-6781STDY12150057	FAIL	FAIL	PASS	PASS	PASS
VBS54939-6781STDY12150058	PASS	PASS	PASS	PASS	PASS
VBS54941-6781STDY12150060	FAIL	FAIL	FAIL	PASS	PASS
VBS54942-6781STDY12150061	PASS	PASS	PASS	PASS	PASS
VBS54943-6781STDY12150062	PASS	FAIL	PASS	PASS	PASS
VBS54944-6781STDY12150063	PASS	PASS	PASS	PASS	PASS
VBS54945-6781STDY12150064	PASS	PASS	PASS	PASS	PASS
VBS54946-6781STDY12150065	PASS	PASS	PASS	PASS	PASS
VBS54947-6781STDY12150066	PASS	PASS	PASS	PASS	PASS
VBS54948-6781STDY12150067	PASS	PASS	PASS	PASS	PASS
VBS54949-6781STDY12150068	PASS	PASS	PASS	PASS	PASS
VBS54950-6781STDY12150069	PASS	PASS	PASS	PASS	PASS
VBS54951-6781STDY12150070	PASS	PASS	PASS	PASS	PASS
VBS54952-6781STDY12150071	PASS	PASS	PASS	PASS	PASS
VBS54953-6781STDY12150072	PASS	PASS	PASS	PASS	PASS
VBS54954-6781STDY12150073	PASS	PASS	PASS	PASS	PASS
VBS54955-6781STDY12150074	PASS	PASS	PASS	PASS	PASS
VBS54956-6781STDY12150075	PASS	PASS	PASS	PASS	PASS
VBS54958-6781STDY12150076	FAIL	FAIL	FAIL	PASS	PASS
VBS54959-6781STDY12150077	PASS	FAIL	PASS	PASS	PASS
VBS54961-6781STDY12150078	PASS	PASS	PASS	PASS	PASS
VBS54962-6781STDY12150079	PASS	PASS	PASS	PASS	PASS
VBS54963-6781STDY12150080	PASS	PASS	PASS	PASS	PASS
VBS54964-6781STDY12150081	PASS	PASS	PASS	PASS	PASS
VBS54965-6781STDY12150082	PASS	PASS	PASS	PASS	PASS
VBS54966-6781STDY12150083	PASS	PASS	PASS	PASS	PASS
VBS54967-6781STDY12150084	PASS	PASS	PASS	PASS	PASS
VBS54968-6781STDY12150085	PASS	PASS	PASS	PASS	PASS
VBS54969-6781STDY12150086	PASS	PASS	PASS	PASS	PASS
VBS54970-6781STDY12150087	PASS	PASS	PASS	PASS	PASS
VBS54971-6781STDY12150088	PASS	PASS	PASS	PASS	PASS
VBS54972-6781STDY12150089	PASS	PASS	PASS	PASS	PASS
VBS54973-6781STDY12150090	PASS	PASS	PASS	PASS	PASS
VBS54974-6781STDY12150091	PASS	PASS	PASS	PASS	PASS
VBS54975-6781STDY12150092	PASS	FAIL	PASS	PASS	PASS
VBS54976-6781STDY12150093	PASS	PASS	PASS	PASS	PASS
VBS54977-6781STDY12150094	PASS	PASS	PASS	PASS	PASS
VBS54978-6781STDY12150095	PASS	PASS	PASS	PASS	PASS
VBS54980-6781STDY12150097	PASS	PASS	PASS	PASS	PASS
VBS54982-6781STDY12150098	PASS	PASS	PASS	PASS	PASS
VBS54984-6781STDY12150100	PASS	PASS	PASS	PASS	PASS
VBS54987-6781STDY12150103	PASS	PASS	PASS	PASS	PASS
VBS54990-6781STDY12150106	PASS	PASS	PASS	PASS	PASS
VBS54992-6781STDY12150108	PASS	PASS	PASS	PASS	PASS
VBS54993-6781STDY12150109	PASS	PASS	PASS	PASS	PASS
VBS54994-6781STDY12150110	PASS	PASS	PASS	PASS	PASS
VBS54995-6781STDY12150113	PASS	PASS	PASS	PASS	PASS
VBS54996-6781STDY12150114	PASS	PASS	PASS	PASS	PASS
VBS54997-6781STDY12150115	PASS	PASS	PASS	PASS	PASS
VBS54998-6781STDY12150116	PASS	PASS	PASS	PASS	PASS
VBS54999-6781STDY12150117	PASS	PASS	PASS	PASS	PASS
VBS55000-6781STDY12150118	PASS	PASS	PASS	PASS	PASS
VBS55001-6781STDY12150119	PASS	PASS	PASS	PASS	PASS
VBS55002-6781STDY12150120	PASS	PASS	PASS	PASS	PASS
VBS55003-6781STDY12150121	PASS	PASS	PASS	PASS	PASS
VBS55004-6781STDY12150122	PASS	PASS	PASS	PASS	PASS
VBS55005-6781STDY12150123	PASS	PASS	PASS	PASS	PASS
VBS55006-6781STDY12150124	PASS	PASS	PASS	PASS	PASS
VBS55007-6781STDY12150125	PASS	PASS	PASS	PASS	PASS
VBS55008-6781STDY12150126	PASS	PASS	PASS	PASS	PASS
VBS55009-6781STDY12150127	PASS	PASS	PASS	PASS	PASS
VBS55010-6781STDY12150128	PASS	PASS	PASS	PASS	PASS
VBS55011-6781STDY12150129	PASS	PASS	PASS	PASS	PASS
VBS55012-6781STDY12150130	PASS	PASS	PASS	PASS	PASS
VBS55013-6781STDY12150131	PASS	PASS	PASS	PASS	PASS
VBS55014-6781STDY12150132	PASS	PASS	PASS	PASS	PASS
VBS55015-6781STDY12150133	PASS	PASS	PASS	PASS	PASS
VBS55016-6781STDY12150134	PASS	PASS	PASS	PASS	PASS
VBS55017-6781STDY12150135	PASS	PASS	PASS	PASS	PASS
VBS55018-6781STDY12150136	PASS	PASS	PASS	PASS	PASS
VBS55019-6781STDY12150137	PASS	PASS	PASS	PASS	PASS
VBS55020-6781STDY12150138	PASS	PASS	PASS	PASS	PASS
VBS55021-6781STDY12150139	PASS	PASS	PASS	PASS	PASS
VBS55022-6781STDY12150140	PASS	PASS	PASS	PASS	PASS
VBS55023-6781STDY12150141	PASS	PASS	PASS	PASS	PASS
VBS55024-6781STDY12150142	PASS	PASS	PASS	PASS	PASS
VBS55025-6781STDY12150143	PASS	PASS	PASS	PASS	PASS
VBS55026-6781STDY12150144	PASS	PASS	PASS	PASS	PASS
VBS55027-6781STDY12150145	PASS	PASS	PASS	PASS	PASS
VBS55028-6781STDY12150146	PASS	PASS	PASS	PASS	PASS
VBS55029-6781STDY12150147	PASS	PASS	PASS	PASS	PASS
VBS55030-6781STDY12150148	PASS	PASS	PASS	PASS	PASS
VBS55031-6781STDY12150149	PASS	PASS	PASS	PASS	PASS
VBS55032-6781STDY12150150	PASS	PASS	PASS	PASS	PASS
VBS55033-6781STDY12150151	PASS	PASS	PASS	PASS	PASS
VBS55034-6781STDY12150152	PASS	PASS	PASS	PASS	PASS
VBS55035-6781STDY12150153	PASS	PASS	PASS	PASS	PASS
VBS55036-6781STDY12150154	PASS	PASS	PASS	PASS	PASS
VBS55037-6781STDY12150155	PASS	PASS	PASS	PASS	PASS
VBS55038-6781STDY12150156	PASS	PASS	PASS	PASS	PASS
VBS55039-6781STDY12150157	PASS	PASS	PASS	PASS	PASS
VBS55040-6781STDY12150158	PASS	PASS	PASS	PASS	PASS
VBS55041-6781STDY12150159	PASS	PASS	PASS	PASS	PASS
VBS55042-6781STDY12150160	PASS	PASS	PASS	PASS	PASS
VBS55043-6781STDY12150161	PASS	PASS	PASS	PASS	PASS
VBS55044-6781STDY12150162	PASS	PASS	PASS	PASS	PASS
VBS55045-6781STDY12150163	PASS	PASS	PASS	PASS	PASS
VBS55046-6781STDY12150164	PASS	PASS	PASS	PASS	PASS
VBS55047-6781STDY12150165	PASS	PASS	PASS	PASS	PASS
VBS55048-6781STDY12150166	PASS	PASS	PASS	PASS	PASS
VBS55049-6781STDY12150167	PASS	PASS	PASS	PASS	PASS
VBS55050-6781STDY12150168	PASS	PASS	PASS	PASS	PASS
VBS55051-6781STDY12150169	PASS	PASS	PASS	PASS	PASS
VBS55052-6781STDY12150170	PASS	PASS	PASS	PASS	PASS
VBS55053-6781STDY12150171	PASS	PASS	PASS	PASS	PASS
VBS55054-6781STDY12150172	PASS	PASS	PASS	PASS	PASS
VBS55055-6781STDY12150173	PASS	PASS	PASS	PASS	PASS
VBS55056-6781STDY12150174	PASS	PASS	PASS	PASS	PASS
VBS55058-6781STDY12150175	PASS	PASS	PASS	PASS	PASS
VBS55059-6781STDY12150176	PASS	PASS	PASS	PASS	PASS
VBS55060-6781STDY12150177	PASS	PASS	PASS	PASS	PASS
VBS55061-6781STDY12150178	PASS	FAIL	PASS	PASS	PASS
VBS55062-6781STDY12150179	PASS	PASS	PASS	PASS	PASS
VBS55063-6781STDY12150180	PASS	PASS	PASS	PASS	PASS
VBS55064-6781STDY12150181	PASS	FAIL	PASS	PASS	PASS
VBS55065-6781STDY12150182	PASS	PASS	PASS	PASS	PASS
VBS55066-6781STDY12150183	PASS	PASS	PASS	PASS	PASS
VBS55067-6781STDY12150184	PASS	FAIL	PASS	PASS	PASS
VBS55068-6781STDY12150185	PASS	PASS	PASS	PASS	PASS
VBS55069-6781STDY12150186	PASS	PASS	PASS	PASS	PASS
VBS55070-6781STDY12150187	PASS	PASS	PASS	PASS	PASS
VBS55071-6781STDY12150188	PASS	PASS	PASS	PASS	PASS
VBS55073-6781STDY12150190	PASS	PASS	PASS	PASS	PASS
VBS55074-6781STDY12150191	PASS	PASS	PASS	PASS	PASS
VBS55075-6781STDY12150192	PASS	PASS	PASS	PASS	PASS
VBS55076-6781STDY12150193	PASS	PASS	PASS	PASS	PASS
VBS55077-6781STDY12150194	PASS	PASS	PASS	PASS	PASS
VBS55078-6781STDY12150195	PASS	PASS	PASS	PASS	PASS
VBS55079-6781STDY12150196	PASS	PASS	PASS	PASS	PASS
VBS55080-6781STDY12150197	PASS	PASS	PASS	PASS	PASS
VBS55081-6781STDY12150198	PASS	PASS	PASS	PASS	PASS
VBS55082-6781STDY12150199	PASS	PASS	PASS	PASS	PASS
VBS55083-6781STDY12150200	PASS	PASS	PASS	PASS	PASS
VBS55084-6781STDY12150201	PASS	PASS	PASS	PASS	PASS
VBS55085-6781STDY12150202	PASS	PASS	PASS	PASS	PASS
VBS55086-6781STDY12150203	PASS	PASS	PASS	PASS	PASS
VBS55087-6781STDY12150204	PASS	PASS	PASS	PASS	PASS
VBS55088-6781STDY12150205	PASS	PASS	PASS	PASS	PASS
VBS55089-6781STDY12150206	PASS	PASS	PASS	PASS	PASS
VBS55090-6781STDY12150209	PASS	PASS	PASS	PASS	PASS
VBS55092-6781STDY12150211	PASS	PASS	PASS	PASS	PASS
VBS55093-6781STDY12150212	PASS	PASS	PASS	PASS	PASS
VBS55094-6781STDY12150213	PASS	PASS	PASS	PASS	PASS
VBS55095-6781STDY12150214	PASS	PASS	PASS	PASS	PASS
VBS55096-6781STDY12150215	PASS	PASS	PASS	PASS	PASS
VBS55097-6781STDY12150216	PASS	PASS	PASS	PASS	PASS
VBS55098-6781STDY12150217	PASS	PASS	PASS	PASS	PASS
VBS55099-6781STDY12150218	PASS	PASS	PASS	PASS	PASS
VBS55100-6781STDY12150219	PASS	PASS	PASS	PASS	PASS
VBS55101-6781STDY12150220	PASS	PASS	PASS	PASS	PASS
VBS55102-6781STDY12150221	PASS	PASS	PASS	PASS	PASS
VBS55103-6781STDY12150222	PASS	PASS	PASS	PASS	PASS
VBS55104-6781STDY12150223	PASS	PASS	PASS	PASS	PASS
VBS55105-6781STDY12150224	PASS	PASS	PASS	PASS	PASS
VBS55106-6781STDY12150225	PASS	PASS	PASS	PASS	PASS
VBS55107-6781STDY12150226	PASS	PASS	PASS	PASS	PASS
VBS55108-6781STDY12150227	PASS	PASS	PASS	PASS	PASS
VBS55109-6781STDY12150228	PASS	PASS	PASS	PASS	PASS
VBS55110-6781STDY12150229	PASS	PASS	PASS	PASS	PASS
VBS55111-6781STDY12150230	PASS	PASS	PASS	PASS	PASS
VBS55112-6781STDY12150231	PASS	PASS	PASS	PASS	PASS
VBS55113-6781STDY12150232	PASS	PASS	PASS	PASS	PASS
VBS55114-6781STDY12150233	PASS	PASS	PASS	PASS	PASS
VBS55115-6781STDY12150234	PASS	PASS	PASS	PASS	PASS
VBS55116-6781STDY12150235	PASS	PASS	PASS	PASS	PASS
VBS55117-6781STDY12150236	PASS	PASS	PASS	PASS	PASS
VBS55118-6781STDY12150237	PASS	PASS	PASS	PASS	PASS
VBS55119-6781STDY12150238	PASS	PASS	PASS	PASS	PASS
VBS55120-6781STDY12150239	PASS	PASS	PASS	PASS	PASS
VBS55121-6781STDY12150240	PASS	PASS	PASS	PASS	PASS
VBS55122-6781STDY12150241	PASS	PASS	PASS	PASS	PASS
VBS55123-6781STDY12150242	PASS	PASS	PASS	PASS	PASS
VBS55124-6781STDY12150243	PASS	PASS	PASS	PASS	PASS
VBS55125-6781STDY12150244	PASS	PASS	PASS	PASS	PASS
VBS55126-6781STDY12150245	PASS	PASS	PASS	PASS	PASS
VBS55127-6781STDY12150246	PASS	PASS	PASS	PASS	PASS
VBS55128-6781STDY12150247	PASS	PASS	FAIL	PASS	PASS
VBS55129-6781STDY12150248	PASS	PASS	PASS	PASS	PASS
VBS55130-6781STDY12150249	PASS	PASS	FAIL	PASS	PASS
VBS55132-6781STDY12150250	PASS	PASS	PASS	PASS	PASS
VBS55133-6781STDY12150251	PASS	PASS	PASS	PASS	PASS
VBS55134-6781STDY12150252	PASS	PASS	PASS	PASS	PASS
VBS55135-6781STDY12150253	PASS	PASS	PASS	PASS	PASS
VBS55136-6781STDY12150254	PASS	PASS	PASS	PASS	PASS
VBS55137-6781STDY12150255	PASS	PASS	PASS	PASS	PASS
VBS55138-6781STDY12150256	PASS	PASS	PASS	PASS	PASS
VBS55139-6781STDY12150257	PASS	PASS	PASS	PASS	PASS
VBS55140-6781STDY12150258	PASS	PASS	PASS	PASS	PASS
VBS55141-6781STDY12150259	PASS	PASS	PASS	PASS	PASS
VBS55142-6781STDY12150260	PASS	PASS	PASS	PASS	PASS
VBS55143-6781STDY12150261	PASS	PASS	PASS	PASS	PASS
VBS55144-6781STDY12150262	PASS	PASS	PASS	PASS	PASS
VBS55145-6781STDY12150263	PASS	PASS	PASS	PASS	PASS
VBS55146-6781STDY12150264	PASS	PASS	PASS	PASS	PASS
VBS55147-6781STDY12150265	PASS	PASS	PASS	PASS	PASS
VBS55149-6781STDY12150266	PASS	PASS	PASS	PASS	PASS
VBS55153-6781STDY12150267	PASS	PASS	PASS	PASS	PASS
VBS55154-6781STDY12150268	PASS	PASS	PASS	PASS	PASS
VBS55155-6781STDY12150269	PASS	PASS	PASS	PASS	PASS
VBS55156-6781STDY12150270	PASS	PASS	PASS	PASS	PASS
VBS55157-6781STDY12150271	PASS	PASS	PASS	PASS	PASS
VBS55158-6781STDY12150272	PASS	PASS	PASS	PASS	PASS
VBS55159-6781STDY12150273	PASS	PASS	PASS	PASS	PASS
VBS55160-6781STDY12150274	PASS	PASS	PASS	PASS	PASS
VBS55161-6781STDY12150275	PASS	PASS	PASS	PASS	PASS
VBS55162-6781STDY12150276	PASS	PASS	PASS	PASS	PASS
VBS55163-6781STDY12150277	PASS	PASS	PASS	PASS	PASS
VBS55164-6781STDY12150278	PASS	PASS	PASS	PASS	PASS
VBS55166-6781STDY12150279	PASS	PASS	PASS	PASS	PASS
VBS55167-6781STDY12150280	PASS	PASS	PASS	PASS	PASS
VBS55168-6781STDY12150281	PASS	PASS	PASS	PASS	PASS
VBS55169-6781STDY12150282	PASS	PASS	PASS	PASS	PASS
VBS55170-6781STDY12150283	PASS	PASS	PASS	PASS	PASS
VBS55171-6781STDY12150284	PASS	PASS	PASS	PASS	PASS
VBS55172-6781STDY12150285	PASS	PASS	PASS	PASS	PASS
VBS55173-6781STDY12150286	PASS	PASS	PASS	PASS	PASS
VBS55174-6781STDY12150287	PASS	PASS	PASS	PASS	PASS
VBS55175-6781STDY12150288	PASS	PASS	PASS	PASS	PASS
VBS55176-6781STDY12150289	PASS	PASS	PASS	PASS	PASS
