gene	Moshi_arabiensis_Delta	Moshi_arabiensis_PM	Muleba_arabiensis_Delta
AGAP001329	""	GWAS	""
AGAP001330	""	GWAS	""
AGAP001999	""	""	GWAS
AGAP002000	""	GWAS	GWAS
AGAP002002	""	GWAS	GWAS
AGAP002003	""	""	GWAS
AGAP002004	""	""	GWAS
AGAP002117	""	""	GWAS
AGAP002807	""	""	GWAS;Fst;H12;PBS
AGAP002808	""	""	GWAS;Fst;H12;PBS
AGAP002809	""	""	GWAS;Fst;H12;PBS
AGAP002810	""	""	GWAS;Fst;H12;PBS
AGAP002811	""	""	GWAS
AGAP002812	""	""	GWAS;Fst;;PBS
AGAP002813	""	""	GWAS
AGAP002814	""	""	GWAS;Fst;;PBS
AGAP002826	""	""	GWAS;Fst;H12
AGAP002828	""	""	GWAS;Fst;H12
AGAP002830	""	""	GWAS;Fst;H12
AGAP002831	""	""	GWAS;Fst;;PBS
AGAP002832	""	""	GWAS;Fst;H12;PBS
AGAP002835	""	""	GWAS;Fst;H12;PBS
AGAP002836	""	""	GWAS;Fst;H12;PBS
AGAP002883	H12	""	GWAS
AGAP002884	H12	""	GWAS
AGAP002885	H12;PBS	""	GWAS
AGAP002886	""	""	GWAS
AGAP002888	""	""	GWAS
AGAP002889	""	""	GWAS
AGAP003059	GWAS	""	""
AGAP005008	""	GWAS	""
AGAP005010	""	GWAS	""
AGAP005180	""	GWAS	""
AGAP005182	""	GWAS	""
AGAP005183	""	GWAS	""
AGAP005219	GWAS	""	""
AGAP007237	""	GWAS	""
AGAP008072	GWAS	""	""
AGAP008073	GWAS	""	""
AGAP008074	GWAS	""	""
AGAP008077	GWAS	""	""
AGAP008331	""	""	GWAS
AGAP008332	""	""	GWAS
AGAP008333	""	""	GWAS
AGAP008513	""	GWAS	""
AGAP008514	""	GWAS	""
AGAP008515	""	GWAS	""
AGAP008879	""	GWAS	""
AGAP008880	""	GWAS	""
AGAP008881	""	GWAS	""
AGAP008882	""	GWAS	""
AGAP008883	""	GWAS	""
AGAP008884	""	GWAS	""
AGAP008885	""	GWAS	""
AGAP008886	""	GWAS	""
AGAP008887	""	GWAS	""
AGAP008889	""	GWAS	""
AGAP008960	""	GWAS	""
AGAP008961	""	GWAS	""
AGAP008980	GWAS	""	""
AGAP008983	GWAS	""	""
AGAP008984	GWAS	""	""
AGAP008995	GWAS	""	""
AGAP008996	GWAS	""	""
AGAP008997	GWAS	""	""
AGAP008998	GWAS	""	""
AGAP009266	""	GWAS	""
AGAP009267	""	GWAS	""
AGAP009531	""	GWAS	""
AGAP009533	""	GWAS	""
AGAP009626	GWAS	""	""
AGAP009859	""	GWAS	""
AGAP009860	""	GWAS	""
AGAP011186	""	GWAS	""
AGAP011187	""	GWAS	""
AGAP011583	GWAS	""	""
AGAP011973	GWAS	""	""
AGAP011974	GWAS	""	""
AGAP011975	GWAS	""	""
AGAP012983	""	""	GWAS
AGAP013089	""	""	GWAS;Fst;;PBS
AGAP013115	H12	""	GWAS
AGAP013130	""	""	GWAS;Fst
AGAP013227	GWAS	""	""
AGAP013300	""	""	GWAS
AGAP013540	""	""	GWAS
AGAP028030	GWAS	""	""
AGAP028068	""	GWAS	""
AGAP028193	GWAS	""	""
AGAP028515	""	GWAS	""
AGAP028560	""	GWAS	""
AGAP028645	""	""	GWAS
AGAP029381	""	""	GWAS;Fst;H12;PBS
AGAP029470	""	GWAS	""
AGAP029543	GWAS	""	""
AGAP029570	""	""	GWAS
AGAP029602	GWAS	""	""
AGAP002800	""	""	Fst
AGAP002801	""	""	Fst;;PBS
AGAP002805	""	""	Fst
AGAP002837	""	""	Fst;H12
AGAP002838	""	""	Fst;H12
AGAP002839	""	""	Fst;H12
AGAP002840	""	""	Fst;H12
AGAP002841	""	""	Fst;H12
AGAP002842	""	""	Fst;H12
AGAP002845	""	""	Fst;;PBS
AGAP002846	""	""	Fst;;PBS
AGAP002847	""	""	Fst;;PBS
AGAP002848	""	""	Fst;;PBS
AGAP002849	""	""	Fst;;PBS
AGAP002850	""	""	Fst;;PBS
AGAP002851	""	""	Fst;;PBS
AGAP002852	""	""	Fst;;PBS
AGAP002853	""	""	Fst;;PBS
AGAP002854	""	""	Fst;;PBS
AGAP002855	""	""	Fst;;PBS
AGAP002856	""	""	Fst;;PBS
AGAP002857	""	""	Fst;H12;PBS
AGAP002858	H12	""	Fst;H12;PBS
AGAP004466	""	""	Fst;;PBS
AGAP004467	""	""	Fst;;PBS
AGAP004468	""	""	Fst;;PBS
AGAP004469	""	""	Fst;;PBS
AGAP004470	""	""	Fst;;PBS
AGAP004471	""	""	Fst;;PBS
AGAP004474	""	""	Fst;;PBS
AGAP004476	""	""	Fst;;PBS
AGAP004477	""	""	Fst;;PBS
AGAP004478	""	""	Fst;;PBS
AGAP009961	""	Fst	""
AGAP009964	""	Fst	""
AGAP013052	""	""	Fst;;PBS
AGAP013054	""	""	Fst;H12
AGAP013314	""	""	Fst;;PBS
AGAP013351	""	""	Fst;H12
AGAP013388	""	""	Fst;;PBS
AGAP013404	""	""	Fst;H12
AGAP013529	""	""	Fst;;PBS
AGAP029553	""	""	Fst;;PBS
AGAP029556	""	Fst	""
Clipa15 (AGAP002815)	""	""	Fst;;PBS
Clipd4 (AGAP002811)	""	""	Fst;;PBS
Clipd6 (AGAP002813)	""	""	Fst;;PBS
Gluriid (AGAP002797)	""	""	Fst
Gnbpb2 (AGAP002798)	""	""	Fst
Gnbpb3 (AGAP002799)	""	""	Fst
Ir100i (AGAP004475)	""	""	Fst;;PBS
Spn-E (AGAP002829)	""	""	Fst;H12
AGAP002626	""	H12	""
AGAP002627	""	H12	""
AGAP002775	""	""	H12
AGAP002782	""	""	H12
AGAP002783	""	""	H12;PBS
AGAP002787	""	""	H12
AGAP002790	""	""	H12
AGAP002819	""	""	H12
AGAP002820	""	""	H12
AGAP002821	""	""	H12
AGAP002822	""	""	H12
AGAP002859	H12	""	H12
AGAP002874	H12	""	""
AGAP002875	H12;PBS	""	""
AGAP002876	H12;PBS	""	""
AGAP002877	H12;PBS	""	""
AGAP002878	H12;PBS	""	""
AGAP002879	H12;PBS	""	""
AGAP002880	H12;PBS	""	""
AGAP002881	H12;PBS	""	H12
AGAP006219	H12	""	""
AGAP006220	H12	""	""
AGAP006221	H12	""	""
AGAP006222	H12	""	""
AGAP006223	H12	""	""
AGAP006224	H12	""	""
AGAP006225	H12	""	""
AGAP013010	""	""	H12
AGAP013244	H12;PBS	""	""
AGAP013343	""	""	H12
AGAP013378	""	""	H12
AGAP013426	""	""	H12
AGAP029190	H12	""	""
AGAP029639	""	""	H12
AGAP029939	""	""	H12;PBS
Apg16l (AGAP002315)	""	""	H12
Clipd8 (AGAP002784)	""	""	H12;PBS
Gprtak1 (AGAP002824)	""	""	H12
Med7 (AGAP002823)	""	""	H12
AGAP002802	""	""	PBS
AGAP002816	""	""	PBS
AGAP002818	""	""	PBS
AGAP004460	""	""	PBS
AGAP004461	""	""	PBS
AGAP004463	""	""	PBS
AGAP004464	""	""	PBS
AGAP004465	""	""	PBS
AGAP004479	""	""	PBS
AGAP004480	""	""	PBS
AGAP004483	""	""	PBS
AGAP004765	PBS	""	""
AGAP004766	PBS	""	""
AGAP004767	PBS	""	""
AGAP004768	PBS	""	""
AGAP004769	PBS	""	""
AGAP004770	PBS	""	""
AGAP004771	PBS	""	""
AGAP004772	PBS	""	""
AGAP004773	PBS	""	""
AGAP011806	PBS	""	""
AGAP011807	PBS	""	""
AGAP011808	PBS	""	""
AGAP028129	PBS	""	""
AGAP029320	PBS	""	""
Gprnna2 (AGAP002886)	PBS	""	""
Mrps26 (AGAP004481)	""	""	PBS
Rps25 (AGAP004462)	""	""	PBS
