sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	run.accession
EA18-0001	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438067
EA18-0003	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438068
EA18-0004	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438069
EA18-0008	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438070
EA18-0012	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438071
EA18-0015	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438073
EA18-0022	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438075
EA18-0023	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438076
EA18-0026	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438077
EA18-0027	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438078
EA18-0029	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438079
EA18-0032	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438080
EA18-0033	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438081
EA18-0034	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438082
EA18-0038	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438083
EA18-0039	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438084
EA18-0043	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438085
EA18-0046	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438086
EA18-0047	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438087
EA18-0049	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438088
EA18-0051	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438089
EA18-0057	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438090
EA18-0059	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438092
EA18-0062	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438094
EA18-0064	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438096
EA18-0066	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438097
EA18-0067	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438098
EA18-0068	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438099
EA18-0069	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438100
EA18-0070	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438101
EA18-0071	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438102
EA18-0072	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438127
EA18-0073	Tanzania	Moshi	-3.384	37.349	07/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438128
EA18-0075	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438129
EA18-0076	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438130
EA18-0077	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438131
EA18-0078	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438132
EA18-0083	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438135
EA18-0084	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438136
EA18-0085	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438137
EA18-0086	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438138
EA18-0087	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438115
EA18-0088	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438116
EA18-0089	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438117
EA18-0090	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438118
EA18-0091	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438119
EA18-0092	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438120
EA18-0093	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438121
EA18-0094	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438122
EA18-0095	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438123
EA18-0096	Tanzania	Moshi	-3.384	37.349	02/2018	arabiensis	Delta	0.5	60	dead		FALSE	ERR9438124
EA18-0098	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438126
EA18-0099	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive	1	FALSE	ERR9438103
EA18-0100	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438104
EA18-0102	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438105
EA18-0104	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438106
EA18-0106	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438107
EA18-0109	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438108
EA18-0112	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438109
EA18-0114	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438110
EA18-0115	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438111
EA18-0116	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438112
EA18-0117	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438113
EA18-0118	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438114
EA18-0119	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438139
EA18-0120	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438140
EA18-0121	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438141
EA18-0122	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438142
EA18-0123	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438143
EA18-0124	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438144
EA18-0125	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive	2	FALSE	ERR9438145
EA18-0126	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438146
EA18-0127	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438147
EA18-0128	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438148
EA18-0129	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438149
EA18-0130	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438150
EA18-0131	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438151
EA18-0132	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438152
EA18-0133	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438153
EA18-0134	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438154
EA18-0135	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438155
EA18-0136	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438156
EA18-0137	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438157
EA18-0139	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438158
EA18-0140	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438159
EA18-0141	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438160
EA18-0142	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438161
EA18-0143	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438162
EA18-0144	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515827
EA18-0145	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515828
EA18-0146	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515829
EA18-0147	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515830
EA18-0148	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515831
EA18-0149	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515832
EA18-0150	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515833
EA18-0151	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515834
EA18-0152	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive	1	TRUE	ERR9515835
EA18-0153	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515836
EA18-0154	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515837
EA18-0155	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515838
EA18-0156	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515839
EA18-0157	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515840
EA18-0158	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515841
EA18-0159	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515842
EA18-0160	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515843
EA18-0161	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515844
EA18-0163	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515845
EA18-0164	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515846
EA18-0165	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515847
EA18-0166	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515848
EA18-0167	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515849
EA18-0168	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9515850
EA18-0169	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438031
EA18-0170	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438032
EA18-0171	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438033
EA18-0172	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438034
EA18-0173	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438035
EA18-0174	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438036
EA18-0175	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438037
EA18-0176	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438038
EA18-0177	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438039
EA18-0178	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438040
EA18-0179	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438041
EA18-0180	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438042
EA18-0182	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438019
EA18-0183	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438020
EA18-0184	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438021
EA18-0186	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438023
EA18-0187	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438024
EA18-0189	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438026
EA18-0190	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438027
EA18-0192	Tanzania	Moshi	-3.384	37.349	06/2018	arabiensis	Delta	2.5	60	alive		FALSE	ERR9438029
EA18-0193	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438030
EA18-0194	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438043
EA18-0195	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438044
EA18-0197	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438045
EA18-0198	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438046
EA18-0200	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438047
EA18-0201	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438048
EA18-0202	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438049
EA18-0203	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438050
EA18-0204	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438051
EA18-0206	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438052
EA18-0213	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438055
EA18-0214	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438056
EA18-0215	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438057
EA18-0216	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438058
EA18-0217	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438059
EA18-0218	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438060
EA18-0219	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438061
EA18-0220	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438062
EA18-0222	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438063
EA18-0223	Tanzania	Moshi	-3.384	37.349	08/2018	arabiensis	PM	0.5	60	dead		FALSE	ERR9438064
